11/7/2023 8:48:12 :    Error while loading scanning interface. Error message: Scanning Error 1. 
11/7/2023 9:5:11 :    Error while loading scanning interface. Error message: Scanning Error 1. 
11/7/2023 10:11:11 :    Error while loading scanning interface. Error message: Scanning Error 1. 
11/7/2023 10:23:10 :    Error while loading scanning interface. Error message: Scanning Error 1. 
11/7/2023 11:6:35 :    Error while loading scanning interface. Error message: Scanning Error 1. 
11/7/2023 11:22:35 :    Cannot apply scanner parameters. Error message: Access to the path 'C:\Windows\SETSCAN.INI' is denied.
11/7/2023 11:25:24 :    Error while loading scanning interface. Error message: Scanning Error 1. 
11/7/2023 11:26:49 :    Cannot apply scanner parameters. Error message: Access to the path 'C:\Windows\SETSCAN.INI' is denied.
11/7/2023 11:27:53 :    Error while loading scanning interface. Error message: Scanning Error 1. 
11/7/2023 11:29:43 :    Cannot apply scanner parameters. Error message: Entry not found. [9001]
11/7/2023 11:30:53 :    Error while loading scanning interface. Error message: Scanning Error -532462766. 
11/7/2023 14:38:14 :    Cannot apply scanner parameters. Error message: Access to the path 'C:\Windows\SETSCAN.INI' is denied.
11/7/2023 14:39:32 :    Error while loading scanning interface. Error message: Scanning Error 1. 
11/7/2023 16:58:10 :    Cannot apply scanner parameters. Error message: Access to the path 'C:\Windows\SETSCAN.INI' is denied.
11/7/2023 16:59:2 :    Cannot apply scanner parameters. Error message: Access to the path 'C:\Windows\SETSCAN.INI' is denied.
11/7/2023 17:0:1 :    Cannot apply scanner parameters. Error message: Access to the path 'C:\Windows\SETSCAN.INI' is denied.
